report_num,significant,long,lat
20120290,1,-95.432381,28.949889
20120291,0,-91.1357,30.056
20120292,0,-74.25384,40.52243
20120293,1,-74.25384,40.52243
20120294,1,-94.935183,29.34525
20120295,1,-94.405099,30.145154
20120296,0,-95.28034,29.79449
20120297,0,-98.72257,33.33278
20120298,0,-100.8309,32.5327
20120299,0,-119.6614872,35.3599366
20120300,0,-102.18757,31.13575
20120301,0,-118.42132,33.90593
20120302,0,-100.83054,32.532
20120303,0,-118.233913,33.8000022
20120304,0,-96.40047,31.77393
20120305,0,-103.17565,31.76885
20120306,0,-87.466475,41.609953
20120307,0,-102.138981,32.089083
20120308,0,-94.527,30.6688
20120309,0,-94.939136,29.348547
20120310,1,-118.22369,33.86206
20120311,1,-85.33488,35.05097
20120312,0,-87.900338,39.323679
20120313,0,-96.74697,35.94109
20120315,0,-77.400392,38.835046
20120316,0,-104.509592,40.136819
20120317,1,-90.592643,29.726669
20120318,0,-89.25292,29.96887
20120319,1,-96.747821,35.939625
20120320,0,-118.232432,33.84494
20120321,0,-88.31929,40.51608
20120322,0,-110.759,40.401
20120323,0,-90.856111,30.006667
20120324,1,-89.99,29.422222
20120325,1,-94.405099,30.145154
20120326,0,-121.587,37.817
20120327,0,-118.246558,33.841119
20120328,1,-104.694064,42.222753
20120329,1,-98.122177,33.138683
20120330,0,-96.764824,35.944728
20120331,0,-117.884167,33.956
20120332,0,-95.39047,45.89504
20120333,0,-96.191081,38.12745
20120334,0,-117.669642,47.634874
20120335,0,-74.25384,40.52243
20120336,0,-91.62582,32.23587
20120337,0,-87.892427,41.644119
20120338,0,-103.17604,32.08014
20120339,1,-97.81663,28.60758
20120340,1,-92.069167,28.618056
20120341,0,-96.74979,35.94805
20120342,0,-116.021774,35.276957
20120343,1,-104.564875,42.11445
20120344,0,-74.208518,40.608272
20120345,1,-93.887925,29.951987
20120346,0,-104.759017,47.0988
20120347,0,-91.570103,41.684108
20120348,1,-90.81978672,41.73889472
20120349,1,-94.9731575,36.64234919
20120350,0,-94.50634,30.28649
20120351,0,-104.686441,42.225925
20120352,0,-98.11987,29.11242
20120353,1,-96.86338,32.06432
20120354,1,-118.313486,33.902032
20120355,0,-93.030086,30.160197
20120356,0,-90.871663,30.909265
20120357,0,-96.89285,33.767016
20120358,1,-101.25444,48.24275
20120359,1,-93.04560277,30.15735228
20120360,1,-95.17971,29.71816
20120361,0,-94.0563685,29.9771376
20120362,0,-96.7569,36.0191
20120363,0,-107.625,43.2930556
20120364,1,-91.5701,41.68411
20120365,0,-102.01582,31.01183
20120366,0,-94.62234,39.15386
20120367,0,-97.54401,34.20969
20120368,0,-74.2222,40.6084
20120369,1,-87.88528,41.55556
20120370,1,-93.95767,29.87283
20120371,0,-90.178975,38.585632
20120372,1,-119.063134,35.019374
20120373,1,-95.49514204,30.84377614
20120374,1,-97.549726,40.621988
20120375,1,-101.255144,32.113857
20130001,1,-97.759029,28.894955
20130002,0,-95.059155,29.718947
20130003,0,-95.880858,29.712258
20130004,1,-74.642893,40.505602
20130005,0,-97.676694,38.338614
20130006,0,-75.4222,39.8458
20130007,1,-96.30796,35.59243
20130008,0,-78.2375,37.66279
20130009,0,-97.95413,33.86379
20130010,0,-77.63277,37.44967
20130011,1,-96.4566,40.97604
20130012,0,-91.05339,32.87476
20130013,0,-91.202633,30.479042
20130014,1,-83.4048,42.2748
20130015,1,-96.18822,37.05446
20130016,0,-89.82917,40.3375
20130017,0,-102.926272,48.284494
20130018,1,-96.38146,33.59202
20130019,0,-82.605496,38.377992
20130020,0,-108.4989,44.815919
20130021,1,-90.845,32.833
20130022,1,-103.300039,32.874247
20130023,0,-93.820278,30.066112
20130024,0,-100.08678,33.87367
20130025,0,-119.3917,35.097214
20130026,0,-121.522658,38.569474
20130027,1,-83.22664,42.131311
20130028,0,-90.16677,30.54741
20130029,1,-101.854915,37.045196
20130030,1,-76.0431,40.3196
20130031,0,-92.54888,32.70298
20130032,0,-94.40307,30.94062
20130033,1,-79.93915,36.07076
20130034,0,-85.13932,33.698451
20130035,0,-86.28629,33.42163
20130036,0,-92.999245,45.143056
20130037,0,-87.40189,31.41808
20130038,0,-93.820278,30.066112
20130039,1,-95.576738,37.061114
20130040,1,-93.62581,41.41355
20130041,0,-96.185508,31.531786
20130042,1,-96.74874,35.94607
20130043,0,-84.953281,40.513477
20130044,0,-91.05339,32.87476
20130045,0,-77.19229,38.73302
20130046,1,-101.354167,35.726944
20130047,0,-96.747808,35.940158
20130048,0,-95.68922,38.91689
20130049,1,-99.6332,38.7919
20130050,0,-108.852723,45.479889
20130051,0,-102.26934,33.24455
20130052,0,-104.061182,32.813
20130053,0,-95.282365,29.792012
20130054,0,-95.3928,45.89341
20130055,0,-85.84991,38.205021
20130056,0,-94.83778,32.48128
20130057,0,-97.947953,34.245072
20130058,0,-87.94348,36.03403
20130059,1,-98.71181,32.54948
20130060,0,-94.08965,42.87907
20130061,0,-98.58167,38.09347
20130062,0,-97.944108,34.07083
20130063,1,-99.30399,48.27904
20130064,1,-74.25384,40.52243
20130065,1,-94.06856,30.03188
20130066,0,-74.213579,40.585479
20130067,0,-99.1262,37.6159
20130068,1,-116.249,43.6067
20130069,0,-83.83167,42.06139
20130070,0,-96.75655,35.95885
20130071,1,-88.385636,38.923554
20130072,0,-100.93178,32.86057
20130073,1,-98.84219,32.70141
20130074,0,-95.1625,29.708617
20130075,0,-102.580805,31.931914
20130076,1,-94.9438,29.8279
20130077,0,-96.445621,33.83017
20130078,0,-94.06,29.9807
20130079,0,-97.632707,40.002304
20130080,0,-94.973972,45.722409
20130081,0,-94.0067,29.9121
20130082,0,-107.98,41.6877778
20130083,1,-74.25384,40.52243
