report_number,significant,location_latitude,location_longitude
20110420,false,41.93805,-87.89138
20110421,true,31.960602,-102.617793
20110422,false,33.970039,-97.334269
20110423,false,33.45542,-84.40389
20110424,false,29.970953,-93.938061
20110425,false,29.345464,-94.935654
20110426,false,35.3275,-119.6575
20110427,false,33.86345,-97.953363
20110428,false,35.02529,-101.51128
20110429,false,32.26812,-101.40486
20110431,false,39.9923,-86.1359
20110432,false,35.96143,-96.71889
20110433,true,31.89631,-102.56548
20110434,false,40.591656,-74.22071
20110435,true,29.34578,-94.936904
20110436,true,37.963297,-121.948261
20110437,false,30.239269,-93.290375
20110438,true,41.60720541,-89.7349367
20110439,true,32.599125,-100.76886
20110440,false,47.68889,-95.41222
20110441,true,30.355333,-92.708299
20110442,true,36.413056,-99.193611
20110443,true,35.94085,-96.7502
20110444,false,40.588225,-74.222514
20110445,true,25.964238,-97.381096
20110446,false,33.68092,-97.075241
20110447,true,39.711344,-88.85166
20110448,true,46.861678,-102.777616
20110449,true,44.021949,-105.538019
20110450,false,33.22053,-99.87124
20110451,true,29.724843,-95.884289
20110452,true,41.659288,-87.569198
20110453,false,47.68889,-95.41222
20110454,true,30.16485,-93.35127
20110455,false,31.85557,-102.67191
20110456,false,41.565497,-93.526862
20110457,true,36.18992091,-120.35680577
20110458,false,29.43573,-95.121835
20110459,false,29.43573,-95.121835
20110460,true,29.79428,-95.28162
20110461,true,30.055571,-91.062652
20120001,true,33.59872,-85.82542
20120002,false,36.06889,-78.06611
20120004,true,30.796962,-91.919893
20120005,false,29.9948,-93.9853
20120006,true,47.907607,-103.650532
20120007,true,47.673856,-103.65985
20120008,true,40.31277,-95.72125
20120009,true,40.31277,-95.72125
20120010,true,41.86305,-96.137915
20120011,true,32.080874,-103.176847
20120012,false,32.06704,-96.4719
20120013,false,32.29488,-97.13418
20120014,true,36.773902,-97.757636
20120015,false,28.93564,-95.320507
20120016,true,33.6809,-81.8849
20120018,true,36.632156,-97.125787
20120019,false,39.45627,-92.08238
20120020,false,30.2867,-94.5058
20120021,false,37.803255,-96.873398
20120022,false,29.750786,-95.209372
20120023,true,31.78341,-103.46442
20120024,true,39.10878,-99.17953
20120025,false,32.63239,-99.80477
20120026,false,29.893363,-93.9928
20120027,false,38.866606,-98.837622
20120028,false,44.817233,-108.501412
20120029,false,30.011111,-90.838889
20120030,false,39.12851,-94.60418
20120031,false,32.84745,-104.38975
20120032,false,30.158686,-93.339919
20120033,true,31.9587,-100.54374
20120034,true,41.56563,-93.526816
20120035,false,34.521102,-96.623514
20120036,false,35.2256,-119.562467
20120037,false,30.0889,-94.6507
20120038,false,65.31111,-148.279
20120039,false,33.857292,-84.629335
20120040,true,34.553462,-82.48791
20120041,true,41.17974,-82.21559
20120042,true,40.58888,-74.22233
20120043,true,33.802717,-118.249779
20120044,false,38.78778,-89.08389
20120045,false,40.52243,-74.25384
20120046,false,34.0522342,-118.2436849
20120047,false,32.02879,-89.10231
20120048,false,45.65804642,-108.75964879
20120049,true,33.20242,-92.65195
20120050,false,40.29213,-79.5866
20120051,true,44.642128,-90.957761
20120052,true,39.136219,-94.601051
20120053,true,42.854803,-106.41171
20120054,true,42.9517,-87.8962
20120055,true,31.15279,-97.37467
20120056,false,29.84722,-94.90222
20120057,false,29.847222,-94.902222
20120058,false,31.47285,-102.89311
20120060,false,40.57729,-74.25051
20120061,false,35.951559,-96.75914
20120062,false,41.6076,-87.4667
20120063,true,40.696043,-84.126666
20120064,false,33.764,-118.228
20120065,false,32.51846,-94.84417
20120066,true,34.94212,-98.16142
20120067,false,29.97501,-94.05586
20120068,false,37.761233,-97.307172
20120069,false,30.01612,-90.865628
20120070,true,31.78341,-103.46442
20120071,true,44.73486,-93.19663
20120072,true,32.3288,-102.8112
20120073,false,42.53889,-88.63417
20120074,false,32.1532,-97.3751
20120075,false,36.12128,-95.99397
20120076,false,44.759651,-93.035311
20120077,false,44.87601,-92.99642
20120078,false,27.83146,-97.51851
20120079,true,44.05727,-84.108636
20120080,true,41.50667,-87.45333
20120081,false,41.49806,-87.51722
20120082,true,30.26630836,-95.35229159
20120083,true,30.239319,-93.268658
20120084,false,39.27126,-76.56328
20120085,true,45.526048,-98.515008
20120086,false,40.52243,-74.25384
20120087,true,46.24913,-106.81986
20120088,true,40.523327,-74.256013
20120089,false,40.590763,-74.219353
20120090,false,41.36417,-96.05833
20120091,false,29.911676,-94.007095
20120092,false,33.864289,-97.954067
20120093,false,34.89185,-97.4453
20120094,false,29.95115,-93.5722
20120095,false,32.53242,-100.82925
20120096,false,30.0889,-94.6502
20120097,false,29.759006,-96.147803
20120098,true,41.49188,-87.91791
20120099,true,29.3736,-89.5514
20120100,false,29.787,-94.4015
20120101,false,32.01435,-102.01776
20120102,false,40.894805,-85.440504
20120103,false,45.010556,-108.913889
20120104,false,29.72941,-95.22026
20120105,false,33.007092,-102.97538
20120106,false,30.5187,-91.4012
20120107,false,45.894167,-95.389444
20120108,true,41.95138,-88.27772
20120109,false,40.52243,-74.25384
20120111,true,29.274667,-89.952333
20120112,true,37.800717,-96.88095
20120113,false,31.77654,-96.3958
20120114,true,38.79106,-89.08415
20120115,false,47.098889,-104.759167
20120116,false,47.378551,-94.666629
20120117,true,47.6895,-95.4097
20120118,true,38.82204498,-90.07891101
20120119,false,38.82855,-90.08931
20120120,true,33.795549,-98.651289
20120121,false,29.974993,-94.05586
20120122,false,32.02821,-89.10162
20120123,true,31.821442,-94.469056
20120124,true,41.148878,-103.682297
20120125,true,27.8215,-97.395
20120126,false,48.455641,-122.390712
20120127,false,48.455641,-122.390712
20120128,false,30.8568,-96.45806
20120129,true,32.862785,-102.920159
20120130,false,32.01426,-102.02737
20120131,false,47.68889,-95.41222
20120132,true,39.72708,-92.04994
20120133,false,41.658008,-88.041942
20120134,false,33.03138,-102.82027
20120135,false,33.03138,-102.82777
20120136,true,40.52243,-74.25384
20120139,false,35.34866,-98.09101
20120141,true,35.953247,-96.758858
20120142,true,38.066978,-122.133742
20120143,false,30.1408,-94.3989
20120144,false,33.80197,-118.23844
20120145,false,30.010536,-90.861846
20120146,false,30.492551,-91.187577
20120148,false,35.9382,-96.74755
20120149,false,70.15120454,-147.09653571
20120150,false,45.05919,-93.19544
20120151,false,29.06023333,-95.35065556
20120152,false,40.647936,-88.340732
20120153,false,35.04474,-119.19115
20120154,false,37.78977,-96.90047
20120155,false,29.145153,-95.67591
20120156,false,27.83125,-97.51745
20120157,false,41.62672,-87.433952
20120158,false,29.52107,-93.5745
20120159,true,40.352903,-74.125619
